自增ID,内部订单号,线上订单号,店铺名称,全渠道用户ID,发货日期,付款日期,应付金额,已付金额,状态,收货人,款号,商品编码,商品名称,颜色及规格,下单时间,省份,城市,平台站点,子订单编号,线上子订单编号,原始线上订单号,数量,商品单价,商品金额,原价,是否赠品,子订单状态,退款状态,登记数量,实退数量
533,INT20250000532,ON20250000532,森马男装官方旗舰店,ac6915351747159434,2025-07-30 05:53:40,2025-07-29 05:53:40,420.0,420.0,已完成,陈玉珍,SPU108,SPU108-黄色-XL,家居服新款,黄色 短款,2025-07-28 05:53:40,陕西省,西安市,天猫,SUB20250000532,ONSUB20250000532,ORIG20250000532,3,140.0,420.0,177.05,是,已完成,成功退款,3,3
534,INT20250000533,ON20250000533,太平鸟女装官方旗舰店,ae7733020678116011,,,962.0,0.0,待付款,林博,SPU094,SPU094-米色-S,西装外套秋冬款,米色 加长,2025-08-02 04:42:52,福建省,泉州市,拼多多,SUB20250000533,ONSUB20250000533,ORIG20250000533,2,481.0,962.0,628.21,否,待付款,未申请退款,0,0
535,INT20250000534,ON20250000534,韩都衣舍官方旗舰店,af8833562212309715,2025-09-21 10:13:20,2025-09-19 10:13:20,291.0,291.0,已完成,刘艳,SPU090,SPU090-紫色-XXL,训练外套热卖款,紫色 短款,2025-09-17 10:13:20,河南省,新乡市,京东,SUB20250000534,ONSUB20250000534,ORIG20250000534,1,291.0,291.0,370.28,否,已完成,未申请退款,0,0
536,INT20250000535,ON20250000535,VERO MODA女装官方旗舰店,af8784444928575073,,,474.0,0.0,已取消,黄玲,SPU150,SPU150-米色-XXXL,家居服秋冬款,米色 修身,2025-07-17 02:35:25,陕西省,宝鸡市,淘宝,SUB20250000535,ONSUB20250000535,ORIG20250000535,2,237.0,474.0,308.46,否,已取消,未申请退款,0,0
537,INT20250000536,ON20250000536,GAP男装官方旗舰店,ac6126046111392431,,2025-09-24 07:52:44,120.0,120.0,已付款,栾浩,SPU145,SPU145-红色-L,西装外套经典款,红色 短款,2025-09-22 07:52:44,吉林省,延边朝鲜族自治州,抖音,SUB20250000536,ONSUB20250000536,ORIG20250000536,1,120.0,120.0,165.77,否,已付款,退款中,1,0
538,INT20250000537,ON20250000537,播男装官方旗舰店,ad9011782331042733,,2025-07-29 16:42:24,115.0,115.0,已付款,萧涛,SPU059,SPU059-黑色-XL,牛仔裤新款,黑色 标准,2025-07-27 16:42:24,山东省,聊城市,淘宝,SUB20250000537,ONSUB20250000537,ORIG20250000537,1,115.0,115.0,153.73,是,已付款,退款关闭,0,0
539,INT20250000538,ON20250000538,Mango女装官方旗舰店,af2093134564451850,2025-10-09 04:40:32,2025-10-07 04:40:32,447.0,447.0,已完成,冯婷,SPU101,SPU101-绿色-S,连帽卫衣春季款,绿色 短款,2025-10-06 04:40:32,宁夏回族自治区,银川市,淘宝,SUB20250000538,ONSUB20250000538,ORIG20250000538,1,447.0,447.0,517.37,是,已完成,退款关闭,0,0
540,INT20250000539,ON20250000539,美特斯邦威官方旗舰店,ad3847870223690613,,,580.0,0.0,待付款,吴强,SPU091,SPU091-米色-XL,家居服夏季款,米色 修身,2025-06-29 14:24:54,陕西省,延安市,京东,SUB20250000539,ONSUB20250000539,ORIG20250000539,2,290.0,580.0,387.42,是,待付款,未申请退款,0,0
541,INT20250000540,ON20250000540,美特斯邦威男装官方旗舰店,ad5519763869298942,2025-10-19 18:17:14,2025-10-16 18:17:14,759.0,759.0,已完成,王秀珍,SPU188,SPU188-黄色-S,风衣夏季款,黄色 标准,2025-10-16 18:17:14,广东省,中山市,抖音,SUB20250000540,ONSUB20250000540,ORIG20250000540,3,253.0,759.0,318.93,否,已完成,退款关闭,0,0
542,INT20250000541,ON20250000541,阿迪达斯官方旗舰店,ae8340926373906514,2025-07-13 18:19:58,2025-07-12 18:19:58,852.0,852.0,已发货,马畅,SPU127,SPU127-蓝色-XS,家居服秋冬款,蓝色 修身,2025-07-11 18:19:58,上海市,上海市,天猫,SUB20250000541,ONSUB20250000541,ORIG20250000541,3,284.0,852.0,403.09,否,已发货,未申请退款,0,0
543,INT20250000542,ON20250000542,欧时力官方旗舰店,ab2358558879579015,,,441.0,0.0,待付款,张婷婷,SPU128,SPU128-棕色-XXL,针织连衣裙新款,棕色 宽松,2025-09-11 20:17:49,黑龙江省,大兴安岭地区,天猫,SUB20250000542,ONSUB20250000542,ORIG20250000542,1,441.0,441.0,540.29,否,待付款,未申请退款,0,0
544,INT20250000543,ON20250000543,美特斯邦威男装官方旗舰店,af4388455242625745,2025-10-28 17:20:17,2025-10-25 17:20:17,283.0,283.0,已发货,王琴,SPU055,SPU055-黑色-S,风衣夏季款,黑色 修身,2025-10-23 17:20:17,北京市,北京市,微信,SUB20250000543,ONSUB20250000543,ORIG20250000543,1,283.0,283.0,358.03,否,已发货,退款关闭,0,0
545,INT20250000544,ON20250000544,COS官方旗舰店,ae4981553333619090,2025-09-08 11:06:26,2025-09-05 11:06:26,756.0,756.0,已完成,夏军,SPU190,SPU190-米色-均码,家居服秋冬款,米色 加长,2025-09-05 11:06:26,安徽省,马鞍山市,拼多多,SUB20250000544,ONSUB20250000544,ORIG20250000544,2,378.0,756.0,507.37,否,已完成,退款关闭,0,0
546,INT20250000545,ON20250000545,优衣库官方旗舰店,ad9179970967085511,2025-09-02 08:34:06,2025-08-31 08:34:06,588.0,481.64,已完成,蒋建军,SPU036,SPU036-红色-XL,羽绒服热卖款,红色 修身,2025-08-30 08:34:06,云南省,昭通市,天猫,SUB20250000545,ONSUB20250000545,ORIG20250000545,2,294.0,588.0,349.8,否,已完成,未申请退款,0,0
547,INT20250000546,ON20250000546,GAP官方旗舰店,ae1596172675394206,2025-10-17 03:57:36,2025-10-15 03:57:36,582.0,582.0,已发货,赵俊,SPU090,SPU090-紫色-XXL,训练外套热卖款,紫色 短款,2025-10-13 03:57:36,山东省,威海市,微信,SUB20250000546,ONSUB20250000546,ORIG20250000546,2,291.0,582.0,363.05,是,已发货,未申请退款,0,0
548,INT20250000547,ON20250000547,太平鸟童装官方旗舰店,ae4485673127081024,,2025-05-21 21:08:42,313.0,313.0,已付款,胡红梅,SPU064,SPU064-粉色-XL,童装套装春季款,粉色 加长,2025-05-19 21:08:42,陕西省,榆林市,抖音,SUB20250000547,ONSUB20250000547,ORIG20250000547,1,313.0,313.0,398.31,是,已付款,未申请退款,0,0
549,INT20250000548,ON20250000548,秋水伊人官方旗舰店,ad1668020497206600,2025-06-30 06:33:41,2025-06-29 06:33:41,234.0,234.0,已完成,陆霞,SPU044,SPU044-橙色-S,风衣新款,橙色 修身,2025-06-27 06:33:41,四川省,甘孜藏族自治州,抖音,SUB20250000548,ONSUB20250000548,ORIG20250000548,1,234.0,234.0,316.83,是,已完成,退款关闭,0,0
550,INT20250000549,ON20250000549,优衣库女装官方旗舰店,ae6453201887972255,,2025-10-13 04:32:13,268.0,268.0,已付款,张冬梅,SPU136,SPU136-灰色-L,休闲衬衫秋冬款,灰色 加长,2025-10-13 04:32:13,西藏自治区,林芝市,京东,SUB20250000549,ONSUB20250000549,ORIG20250000549,2,134.0,268.0,191.84,否,已付款,申请退款,2,0
551,INT20250000550,ON20250000550,森马女装官方旗舰店,ae2378021819952632,,2025-10-08 21:13:14,206.0,206.0,已付款,臧阳,SPU074,SPU074-绿色-L,运动长裤春季款,绿色 加长,2025-10-08 21:13:14,安徽省,池州市,拼多多,SUB20250000550,ONSUB20250000550,ORIG20250000550,1,206.0,206.0,295.52,是,已付款,退款中,1,0
552,INT20250000551,ON20250000551,Massimo Dutti男装官方旗舰店,ae5809943469759988,2025-05-22 23:23:44,2025-05-21 23:23:44,209.0,209.0,已发货,孙秀荣,SPU017,SPU017-白色-XXL,速干短裤春季款,白色 加长,2025-05-20 23:23:44,安徽省,合肥市,淘宝,SUB20250000551,ONSUB20250000551,ORIG20250000551,1,209.0,209.0,306.26,是,已发货,退款中,1,0
553,INT20250000552,ON20250000552,GAP童装官方旗舰店,ae3269775472220990,2025-08-13 17:51:35,2025-08-11 17:51:35,654.0,654.0,已完成,郭凯,SPU037,SPU037-灰色-XXXL,运动T恤热卖款,灰色 修身,2025-08-09 17:51:35,河南省,焦作市,淘宝,SUB20250000552,ONSUB20250000552,ORIG20250000552,2,327.0,654.0,438.74,是,已完成,未申请退款,0,0
554,INT20250000553,ON20250000553,美特斯邦威男装官方旗舰店,ad4961029942125795,,2025-09-18 21:20:27,796.0,796.0,已付款,陈艳,SPU141,SPU141-红色-L,跑步外套春季款,红色 短款,2025-09-18 21:20:27,辽宁省,阜新市,微信,SUB20250000553,ONSUB20250000553,ORIG20250000553,2,398.0,796.0,457.56,是,已付款,退款中,2,1
555,INT20250000554,ON20250000554,杰克琼斯男装官方旗舰店,ae2136976776959447,2025-09-16 06:56:50,2025-09-14 06:56:50,231.0,231.0,已完成,王强,SPU143,SPU143-黄色-XS,羽绒服夏季款,黄色 短款,2025-09-12 06:56:50,辽宁省,大连市,天猫,SUB20250000554,ONSUB20250000554,ORIG20250000554,3,77.0,231.0,112.06,否,已完成,成功退款,3,3
556,INT20250000555,ON20250000555,播官方旗舰店,ab8830565723860554,,,633.0,0.0,已取消,柴辉,SPU137,SPU137-黄色-XXL,西装外套秋冬款,黄色 短款,2025-09-10 10:58:34,安徽省,马鞍山市,淘宝,SUB20250000555,ONSUB20250000555,ORIG20250000555,3,211.0,633.0,255.81,是,已取消,未申请退款,0,0
557,INT20250000556,ON20250000556,韩都衣舍官方旗舰店,ac9468801691479874,2025-09-22 04:09:51,2025-09-21 04:09:51,747.0,747.0,已完成,姜桂芝,SPU017,SPU017-白色-M,速干短裤春季款,白色 短款,2025-09-21 04:09:51,四川省,绵阳市,淘宝,SUB20250000556,ONSUB20250000556,ORIG20250000556,3,249.0,747.0,368.4,否,已完成,退款关闭,0,0
558,INT20250000557,ON20250000557,GXG男装官方旗舰店,af2341539292623825,,2025-09-20 12:50:12,348.0,348.0,已付款,李桂荣,SPU021,SPU021-红色-S,速干T恤热卖款,红色 加长,2025-09-18 12:50:12,江苏省,连云港市,微信,SUB20250000557,ONSUB20250000557,ORIG20250000557,3,116.0,348.0,127.7,否,已付款,未申请退款,0,0
559,INT20250000558,ON20250000558,播女装官方旗舰店,ab8611441717375159,2025-06-26 05:14:19,2025-06-25 05:14:19,402.0,402.0,已完成,张明,SPU009,SPU009-橙色-S,开衫热卖款,橙色 宽松,2025-06-24 05:14:19,福建省,福州市,淘宝,SUB20250000558,ONSUB20250000558,ORIG20250000558,3,134.0,402.0,163.26,否,已完成,成功退款,3,2
560,INT20250000559,ON20250000559,森马官方旗舰店,ab8420628179735768,,2025-07-26 12:23:50,156.0,156.0,已付款,张桂芝,SPU052,SPU052-棕色-XXXL,休闲衬衫热卖款,棕色 短款,2025-07-26 12:23:50,河南省,新乡市,抖音,SUB20250000559,ONSUB20250000559,ORIG20250000559,1,156.0,156.0,179.41,是,已付款,退款中,1,0
561,INT20250000560,ON20250000560,太平鸟官方旗舰店,ad7074075259800225,2025-09-04 20:50:25,2025-09-02 20:50:25,609.0,609.0,已完成,冉建平,SPU079,SPU079-棕色-XXL,家居服夏季款,棕色 标准,2025-08-31 20:50:25,广西壮族自治区,南宁市,天猫,SUB20250000560,ONSUB20250000560,ORIG20250000560,3,203.0,609.0,292.96,否,已完成,成功退款,3,1
562,INT20250000561,ON20250000561,杰克琼斯男装官方旗舰店,ae2486590075728767,2025-08-15 05:15:34,2025-08-12 05:15:34,393.0,393.0,已完成,顾燕,SPU063,SPU063-粉色-XXL,运动T恤秋冬款,粉色 加长,2025-08-10 05:15:34,宁夏回族自治区,中卫市,天猫,SUB20250000561,ONSUB20250000561,ORIG20250000561,3,131.0,393.0,157.04,是,已完成,退款关闭,0,0
563,INT20250000562,ON20250000562,太平鸟男装官方旗舰店,ad7900925593183033,2025-05-19 23:04:15,2025-05-16 23:04:15,780.0,780.0,已发货,谷龙,SPU056,SPU056-红色-XS,运动长裤新款,红色 修身,2025-05-14 23:04:15,吉林省,吉林市,京东,SUB20250000562,ONSUB20250000562,ORIG20250000562,2,390.0,780.0,440.05,否,已发货,申请退款,2,0
564,INT20250000563,ON20250000563,森马男装官方旗舰店,ab5138131109426128,2025-09-09 03:06:15,2025-09-07 03:06:15,322.0,322.0,已发货,刘霞,SPU055,SPU055-黑色-XXL,风衣夏季款,黑色 宽松,2025-09-06 03:06:15,江苏省,泰州市,淘宝,SUB20250000563,ONSUB20250000563,ORIG20250000563,1,322.0,322.0,398.98,否,已发货,未申请退款,0,0
565,INT20250000564,ON20250000564,优衣库童装官方旗舰店,ac6743543113040141,,,1050.0,0.0,待付款,陈桂芝,SPU022,SPU022-绿色-XL,家居服春季款,绿色 标准,2025-09-19 13:07:31,山西省,吕梁市,京东,SUB20250000564,ONSUB20250000564,ORIG20250000564,3,350.0,1050.0,426.35,是,待付款,未申请退款,0,0
566,INT20250000565,ON20250000565,太平鸟男装官方旗舰店,ac1324512892309051,2025-11-02 06:21:49,2025-11-01 06:21:49,122.0,102.74,已发货,徐林,SPU078,SPU078-粉色-XS,连帽卫衣秋冬款,粉色 加长,2025-10-31 06:21:49,安徽省,铜陵市,抖音,SUB20250000565,ONSUB20250000565,ORIG20250000565,1,122.0,122.0,163.45,否,已发货,退款中,1,1
567,INT20250000566,ON20250000566,H&M官方旗舰店,ad7731228454533429,2025-10-11 16:35:34,2025-10-08 16:35:34,771.0,771.0,已完成,周秀英,SPU157,SPU157-灰色-M,速干短裤春季款,灰色 修身,2025-10-06 16:35:34,广西壮族自治区,百色市,抖音,SUB20250000566,ONSUB20250000566,ORIG20250000566,3,257.0,771.0,283.95,是,已完成,退款关闭,0,0
568,INT20250000567,ON20250000567,江南布衣男装官方旗舰店,af5096707468262335,2025-06-11 20:47:00,2025-06-09 20:47:00,312.0,312.0,已完成,张建军,SPU027,SPU027-黄色-L,套头卫衣夏季款,黄色 修身,2025-06-09 20:47:00,广西壮族自治区,来宾市,抖音,SUB20250000567,ONSUB20250000567,ORIG20250000567,1,312.0,312.0,461.72,是,已完成,未申请退款,0,0
569,INT20250000568,ON20250000568,VERO MODA女装官方旗舰店,ab8840988484663114,2025-09-19 16:53:13,2025-09-17 16:53:13,284.0,284.0,已完成,田红梅,SPU117,SPU117-白色-XS,短裤秋冬款,白色 加长,2025-09-15 16:53:13,山西省,长治市,淘宝,SUB20250000568,ONSUB20250000568,ORIG20250000568,2,142.0,284.0,181.43,是,已完成,未申请退款,0,0
570,INT20250000569,ON20250000569,秋水伊人官方旗舰店,af1132928533555056,2025-06-22 09:56:54,2025-06-19 09:56:54,780.0,780.0,已完成,黄玉兰,SPU018,SPU018-红色-XL,休闲裤秋冬款,红色 修身,2025-06-19 09:56:54,内蒙古自治区,巴彦淖尔市,拼多多,SUB20250000569,ONSUB20250000569,ORIG20250000569,2,390.0,780.0,432.69,是,已完成,成功退款,2,1
571,INT20250000570,ON20250000570,太平鸟官方旗舰店,ae6083590258215160,2025-10-17 15:50:42,2025-10-15 15:50:42,674.0,674.0,已发货,田桂香,SPU070,SPU070-棕色-XS,连帽卫衣春季款,棕色 加长,2025-10-15 15:50:42,山东省,菏泽市,天猫,SUB20250000570,ONSUB20250000570,ORIG20250000570,2,337.0,674.0,402.15,否,已发货,退款关闭,0,0
572,INT20250000571,ON20250000571,美特斯邦威男装官方旗舰店,ab9568477696225990,2025-07-03 15:48:24,2025-06-30 15:48:24,180.0,180.0,已完成,陈勇,SPU138,SPU138-棕色-S,跑步外套热卖款,棕色 宽松,2025-06-29 15:48:24,上海市,上海市,淘宝,SUB20250000571,ONSUB20250000571,ORIG20250000571,3,60.0,180.0,77.52,是,已完成,成功退款,3,1
573,INT20250000572,ON20250000572,GAP女装官方旗舰店,ac5052545078493897,2025-07-18 04:24:44,2025-07-16 04:24:44,201.0,201.0,已发货,张博,SPU052,SPU052-棕色-L,休闲衬衫热卖款,棕色 宽松,2025-07-16 04:24:44,辽宁省,铁岭市,淘宝,SUB20250000572,ONSUB20250000572,ORIG20250000572,3,67.0,201.0,82.04,是,已发货,未申请退款,0,0
574,INT20250000573,ON20250000573,H&M童装官方旗舰店,ae5221652738352163,2025-10-10 04:15:16,2025-10-09 04:15:16,230.0,230.0,已完成,靳晶,SPU154,SPU154-黑色-XXL,短裤热卖款,黑色 修身,2025-10-08 04:15:16,甘肃省,天水市,拼多多,SUB20250000573,ONSUB20250000573,ORIG20250000573,2,115.0,230.0,148.47,否,已完成,退款关闭,0,0
575,INT20250000574,ON20250000574,秋水伊人官方旗舰店,af3857968285487141,2025-09-16 01:52:43,2025-09-13 01:52:43,196.0,196.0,已完成,马琳,SPU026,SPU026-绿色-M,家居服秋冬款,绿色 标准,2025-09-13 01:52:43,陕西省,渭南市,拼多多,SUB20250000574,ONSUB20250000574,ORIG20250000574,2,98.0,196.0,127.22,是,已完成,成功退款,2,1
576,INT20250000575,ON20250000575,江南布衣官方旗舰店,af5277449411990301,2025-10-30 15:52:43,2025-10-28 15:52:43,618.0,618.0,已完成,杨兵,SPU047,SPU047-灰色-XXL,A字连衣裙夏季款,灰色 修身,2025-10-26 15:52:43,重庆市,重庆市,拼多多,SUB20250000575,ONSUB20250000575,ORIG20250000575,3,206.0,618.0,239.24,否,已完成,成功退款,3,3
577,INT20250000576,ON20250000576,江南布衣官方旗舰店,ac7991643713113434,,2025-09-05 06:04:23,1023.0,1023.0,已付款,晏想,SPU094,SPU094-米色-S,西装外套秋冬款,米色 短款,2025-09-04 06:04:23,山东省,烟台市,京东,SUB20250000576,ONSUB20250000576,ORIG20250000576,3,341.0,1023.0,453.74,是,已付款,未申请退款,0,0
578,INT20250000577,ON20250000577,杰克琼斯官方旗舰店,ae5636232495127018,2025-09-10 13:36:14,2025-09-08 13:36:14,312.0,312.0,已发货,张洁,SPU193,SPU193-棕色-XL,针织衫夏季款,棕色 宽松,2025-09-06 13:36:14,广东省,汕尾市,京东,SUB20250000577,ONSUB20250000577,ORIG20250000577,2,156.0,312.0,206.5,是,已发货,未申请退款,0,0
579,INT20250000578,ON20250000578,美特斯邦威官方旗舰店,ae3287626875680709,,2025-10-11 23:35:55,780.0,780.0,已付款,曹伟,SPU056,SPU056-红色-XS,运动长裤新款,红色 修身,2025-10-10 23:35:55,广东省,江门市,淘宝,SUB20250000578,ONSUB20250000578,ORIG20250000578,2,390.0,780.0,490.34,是,已付款,未申请退款,0,0
580,INT20250000579,ON20250000579,ZARA女装官方旗舰店,ad6905038724690405,2025-10-08 15:41:20,2025-10-06 15:41:20,776.0,730.06,已发货,李秀芳,SPU090,SPU090-紫色-XXXL,训练外套热卖款,紫色 标准,2025-10-05 15:41:20,重庆市,重庆市,微信,SUB20250000579,ONSUB20250000579,ORIG20250000579,2,388.0,776.0,527.04,否,已发货,退款关闭,0,0
581,INT20250000580,ON20250000580,Massimo Dutti男装官方旗舰店,ae3721273434461850,,2025-06-24 15:19:46,340.0,340.0,已付款,张秀兰,SPU001,SPU001-紫色-XS,套头卫衣热卖款,紫色 标准,2025-06-22 15:19:46,宁夏回族自治区,银川市,淘宝,SUB20250000580,ONSUB20250000580,ORIG20250000580,1,340.0,340.0,472.5,否,已付款,申请退款,1,0
582,INT20250000581,ON20250000581,优衣库女装官方旗舰店,ae8334067406192708,2025-07-28 17:06:55,2025-07-26 17:06:55,1254.0,1254.0,已发货,文想,SPU189,SPU189-蓝色-L,跑步外套夏季款,蓝色 短款,2025-07-26 17:06:55,宁夏回族自治区,石嘴山市,天猫,SUB20250000581,ONSUB20250000581,ORIG20250000581,3,418.0,1254.0,524.91,是,已发货,未申请退款,0,0
583,INT20250000582,ON20250000582,森马官方旗舰店,af7449328040642089,2025-10-21 12:49:01,2025-10-18 12:49:01,1470.0,1470.0,已完成,何秀芳,SPU011,SPU011-棕色-XS,运动T恤春季款,棕色 宽松,2025-10-18 12:49:01,江苏省,南京市,抖音,SUB20250000582,ONSUB20250000582,ORIG20250000582,3,490.0,1470.0,553.46,是,已完成,未申请退款,0,0
584,INT20250000583,ON20250000583,GAP官方旗舰店,ae7457564932175350,2025-05-21 21:39:46,2025-05-18 21:39:46,234.0,234.0,已发货,杨琴,SPU144,SPU144-橙色-M,牛仔裤秋冬款,橙色 短款,2025-05-18 21:39:46,云南省,迪庆藏族自治州,天猫,SUB20250000583,ONSUB20250000583,ORIG20250000583,2,117.0,234.0,128.76,是,已发货,退款中,2,0
585,INT20250000584,ON20250000584,GAP女装官方旗舰店,ad4058062867632310,2025-09-30 09:17:30,2025-09-28 09:17:30,141.0,141.0,已完成,井秀荣,SPU193,SPU193-棕色-XL,针织衫夏季款,棕色 加长,2025-09-26 09:17:30,辽宁省,葫芦岛市,微信,SUB20250000584,ONSUB20250000584,ORIG20250000584,1,141.0,141.0,193.82,否,已完成,成功退款,1,1
586,INT20250000585,ON20250000585,ZARA男装官方旗舰店,ae3287626875680709,,2025-10-09 11:35:27,454.0,454.0,已付款,曹伟,SPU032,SPU032-黄色-均码,连帽卫衣春季款,黄色 修身,2025-10-07 11:35:27,广东省,江门市,抖音,SUB20250000585,ONSUB20250000585,ORIG20250000585,1,454.0,454.0,671.68,是,已付款,退款中,1,0
587,INT20250000586,ON20250000586,H&M官方旗舰店,ac5614808163054630,2025-06-13 01:16:10,2025-06-10 01:16:10,340.0,340.0,已发货,朱凤英,SPU100,SPU100-棕色-XS,百褶裙秋冬款,棕色 短款,2025-06-09 01:16:10,甘肃省,嘉峪关市,拼多多,SUB20250000586,ONSUB20250000586,ORIG20250000586,2,170.0,340.0,224.19,是,已发货,申请退款,2,0
588,INT20250000587,ON20250000587,播男装官方旗舰店,af8761568052606767,2025-07-28 16:54:30,2025-07-25 16:54:30,251.0,251.0,已完成,王柳,SPU099,SPU099-棕色-S,短裤夏季款,棕色 修身,2025-07-25 16:54:30,山西省,朔州市,抖音,SUB20250000587,ONSUB20250000587,ORIG20250000587,1,251.0,251.0,282.44,是,已完成,成功退款,1,1
589,INT20250000588,ON20250000588,江南布衣女装官方旗舰店,ac6511302018615482,2025-05-16 16:00:13,2025-05-14 16:00:13,249.0,249.0,已发货,卫阳,SPU006,SPU006-绿色-XXL,训练外套夏季款,绿色 修身,2025-05-14 16:00:13,吉林省,长春市,拼多多,SUB20250000588,ONSUB20250000588,ORIG20250000588,1,249.0,249.0,297.68,是,已发货,未申请退款,0,0
590,INT20250000589,ON20250000589,Pull&Bear官方旗舰店,ad3327033887505886,2025-10-09 16:04:02,2025-10-07 16:04:02,1122.0,1122.0,已发货,耿雷,SPU154,SPU154-黑色-XS,短裤热卖款,黑色 短款,2025-10-06 16:04:02,西藏自治区,昌都市,天猫,SUB20250000589,ONSUB20250000589,ORIG20250000589,3,374.0,1122.0,528.32,是,已发货,未申请退款,0,0
591,INT20250000590,ON20250000590,Bershka女装官方旗舰店,af7653114086746539,,2025-09-22 12:26:34,312.0,312.0,已付款,翟桂芝,SPU141,SPU141-红色-XXL,跑步外套春季款,红色 短款,2025-09-22 12:26:34,陕西省,渭南市,微信,SUB20250000590,ONSUB20250000590,ORIG20250000590,3,104.0,312.0,147.89,否,已付款,退款中,3,0
592,INT20250000591,ON20250000591,VERO MODA女装官方旗舰店,af8433743482209847,2025-07-03 13:39:41,2025-06-30 13:39:41,78.0,78.0,已发货,孙娟,SPU026,SPU026-绿色-XXXL,家居服秋冬款,绿色 修身,2025-06-29 13:39:41,河北省,石家庄市,天猫,SUB20250000591,ONSUB20250000591,ORIG20250000591,1,78.0,78.0,95.57,否,已发货,退款中,1,0
593,INT20250000592,ON20250000592,H&M童装官方旗舰店,ab9152839363832448,2025-10-23 03:04:52,2025-10-20 03:04:52,572.0,572.0,已发货,乔玉梅,SPU063,SPU063-粉色-M,运动T恤秋冬款,粉色 宽松,2025-10-18 03:04:52,甘肃省,武威市,微信,SUB20250000592,ONSUB20250000592,ORIG20250000592,2,286.0,572.0,363.7,否,已发货,申请退款,2,0
594,INT20250000593,ON20250000593,江南布衣女装官方旗舰店,ad5519763869298942,2025-10-06 04:53:59,2025-10-04 04:53:59,184.0,184.0,已完成,王秀珍,SPU029,SPU029-黑色-M,伞裙夏季款,黑色 短款,2025-10-04 04:53:59,广东省,中山市,京东,SUB20250000593,ONSUB20250000593,ORIG20250000593,1,184.0,184.0,204.19,是,已完成,未申请退款,0,0
595,INT20250000594,ON20250000594,GAP男装官方旗舰店,af2720885798255295,2025-08-20 19:21:29,2025-08-19 19:21:29,382.0,382.0,已完成,谭东,SPU137,SPU137-黄色-均码,西装外套秋冬款,黄色 短款,2025-08-18 19:21:29,青海省,海南藏族自治州,微信,SUB20250000594,ONSUB20250000594,ORIG20250000594,2,191.0,382.0,279.61,是,已完成,成功退款,2,1
596,INT20250000595,ON20250000595,耐克官方旗舰店,ad4049364700761729,,2025-06-22 04:56:49,582.0,582.0,已付款,王云,SPU117,SPU117-白色-XL,短裤秋冬款,白色 短款,2025-06-21 04:56:49,青海省,果洛藏族自治州,微信,SUB20250000595,ONSUB20250000595,ORIG20250000595,3,194.0,582.0,270.03,否,已付款,退款中,3,0
597,INT20250000596,ON20250000596,耐克官方旗舰店,ac3220450664157272,2025-09-13 19:55:47,2025-09-12 19:55:47,282.0,282.0,已发货,宫婷婷,SPU057,SPU057-米色-XL,针织衫夏季款,米色 加长,2025-09-12 19:55:47,云南省,迪庆藏族自治州,天猫,SUB20250000596,ONSUB20250000596,ORIG20250000596,2,141.0,282.0,163.32,否,已发货,退款关闭,0,0
598,INT20250000597,ON20250000597,GAP男装官方旗舰店,ad2482085111552665,,2025-09-06 18:30:15,386.0,386.0,已付款,马涛,SPU073,SPU073-蓝色-XL,短裤秋冬款,蓝色 宽松,2025-09-04 18:30:15,北京市,北京市,天猫,SUB20250000597,ONSUB20250000597,ORIG20250000597,1,386.0,386.0,536.0,是,已付款,退款中,1,0
599,INT20250000598,ON20250000598,优衣库童装官方旗舰店,af4167346449229489,2025-10-14 07:09:56,2025-10-12 07:09:56,650.0,650.0,已完成,罗慧,SPU086,SPU086-白色-L,家居服秋冬款,白色 修身,2025-10-10 07:09:56,上海市,上海市,天猫,SUB20250000598,ONSUB20250000598,ORIG20250000598,2,325.0,650.0,390.63,否,已完成,未申请退款,0,0
600,INT20250000599,ON20250000599,VERO MODA女装官方旗舰店,ab6789371462423713,2025-10-28 05:50:46,2025-10-27 05:50:46,445.0,445.0,已完成,孔冬梅,SPU170,SPU170-黄色-XL,运动长裤春季款,黄色 宽松,2025-10-27 05:50:46,安徽省,六安市,抖音,SUB20250000599,ONSUB20250000599,ORIG20250000599,1,445.0,445.0,491.61,否,已完成,未申请退款,0,0
601,INT20250000600,ON20250000600,杰克琼斯官方旗舰店,af7015574178050544,2025-07-20 00:33:13,2025-07-18 00:33:13,350.0,350.0,已完成,黎秀荣,SPU085,SPU085-黄色-XL,套头卫衣热卖款,黄色 宽松,2025-07-16 00:33:13,内蒙古自治区,兴安盟,拼多多,SUB20250000600,ONSUB20250000600,ORIG20250000600,2,175.0,350.0,212.92,是,已完成,未申请退款,0,0
602,INT20250000601,ON20250000601,江南布衣官方旗舰店,ae4624498532235524,,,112.0,0.0,待付款,曹坤,SPU051,SPU051-橙色-XS,短袖T恤夏季款,橙色 宽松,2025-10-19 02:03:18,湖南省,邵阳市,淘宝,SUB20250000601,ONSUB20250000601,ORIG20250000601,1,112.0,112.0,156.49,是,待付款,未申请退款,0,0
603,INT20250000602,ON20250000602,ONLY女装官方旗舰店,ab6479056803228564,2025-06-15 01:16:04,2025-06-12 01:16:04,786.0,786.0,已完成,任飞,SPU040,SPU040-棕色-XXXL,运动T恤热卖款,棕色 标准,2025-06-11 01:16:04,辽宁省,锦州市,天猫,SUB20250000602,ONSUB20250000602,ORIG20250000602,3,262.0,786.0,371.97,是,已完成,退款关闭,0,0
